date_time,temperature,humidity,precipitation,rain,snowfall,weather_code,surface_pressure,cloudcover,visibility,evapotranspiration,wind_speed,wind_direction,city_name
"2023-09-27 00:00:00",17.6,61,0,0,0,0,1007.9,1,28900,0,18.5,77,Toronto
"2023-09-27 01:00:00",16.1,66,0,0,0,0,1007.8,0,25400,0,14.2,81,Toronto
"2023-09-27 02:00:00",15.3,70,0,0,0,0,1008.7,2,22800,0,11.4,79,Toronto
"2023-09-27 03:00:00",14.6,72,0,0,0,0,1008.2,0,21600,0,9.5,79,Toronto
"2023-09-27 04:00:00",14.1,76,0,0,0,0,1008.8,1,19500,-0,8.2,75,Toronto
"2023-09-27 05:00:00",13.9,79,0,0,0,3,1008.5,95,18300,-0,7.8,68,Toronto
"2023-09-27 06:00:00",14,80,0,0,0,1,1009,43,17600,-0,7.4,76,Toronto
"2023-09-27 07:00:00",13.3,83,0,0,0,0,1008.6,6,16400,-0,8.2,75,Toronto
"2023-09-27 08:00:00",12.8,87,0,0,0,0,1008.6,2,14900,-0,9.2,45,Toronto
"2023-09-27 09:00:00",12.3,85,0,0,0,3,1008.4,100,15900,-0,9.4,40,Toronto
"2023-09-27 10:00:00",11.9,84,0,0,0,3,1008,93,16000,0,11,49,Toronto
"2023-09-27 11:00:00",11.4,87,0,0,0,3,1007.9,100,15100,0,11,52,Toronto
"2023-09-27 12:00:00",11.2,90,0,0,0,3,1008.1,100,14000,-0,11,52,Toronto
"2023-09-27 13:00:00",11,92,0,0,0,3,1008,100,13200,-0,10.8,53,Toronto
"2023-09-27 14:00:00",11.6,92,0,0,0,3,1008.3,100,13400,0,11.2,57,Toronto
"2023-09-27 15:00:00",13.9,87,0,0,0,3,1009.3,100,15000,0,10.2,72,Toronto
"2023-09-27 16:00:00",15.8,77,0,0,0,3,1009.4,92,19600,0,13,95,Toronto
"2023-09-27 17:00:00",16.5,71,0,0,0,2,1009.4,67,22500,0,16,98,Toronto
"2023-09-27 18:00:00",17.4,60,0,0,0,3,1009.1,100,29500,0,18.4,90,Toronto
"2023-09-27 19:00:00",18.2,51,0,0,0,3,1008.8,100,36000,0,20.5,90,Toronto
"2023-09-27 20:00:00",18.5,46,0,0,0,3,1008.2,100,41200,0,21.2,90,Toronto
"2023-09-27 21:00:00",18.7,41,0,0,0,3,1007.8,100,46400,0,20.9,86,Toronto
"2023-09-27 22:00:00",18.7,38,0,0,0,2,1007.7,59,50600,0,21.3,84,Toronto
"2023-09-27 23:00:00",18.2,41,0,0,0,2,1007.2,56,46600,0,20.7,82,Toronto
"2023-09-27 00:00:00",25.5,24,0,0,0,2,789.3,45,24140,0.21,17.4,22,"Mexico City"
"2023-09-27 01:00:00",24.5,26,0,0,0,2,788.9,52,24140,0.15,17.7,24,"Mexico City"
"2023-09-27 02:00:00",23,30,0,0,0,2,788.7,45,24140,0.11,17.7,27,"Mexico City"
"2023-09-27 03:00:00",20.8,40,0,0,0,1,788.8,31,24140,0.07,16.5,23,"Mexico City"
"2023-09-27 04:00:00",18.8,52,0,0,0,0,789.2,6,24140,0.05,12.4,10,"Mexico City"
"2023-09-27 05:00:00",17.3,62,0,0,0,0,789.7,0,24140,0.03,8.3,326,"Mexico City"
"2023-09-27 06:00:00",16.3,68,0,0,0,1,789.6,7,24140,0.02,6.8,295,"Mexico City"
"2023-09-27 07:00:00",15.5,72,0,0,0,1,789.4,17,24140,0.02,6.2,277,"Mexico City"
"2023-09-27 08:00:00",14.8,77,0,0,0,1,788.8,22,24140,0.01,5.4,262,"Mexico City"
"2023-09-27 09:00:00",14.2,79,0,0,0,1,788.3,17,24140,0.01,4.8,257,"Mexico City"
"2023-09-27 10:00:00",13.7,81,0,0,0,1,787.6,18,24140,0.01,4.2,250,"Mexico City"
"2023-09-27 11:00:00",13.1,82,0,0,0,1,787.1,27,24140,0.01,2.8,230,"Mexico City"
"2023-09-27 12:00:00",12.8,82,0,0,0,1,786.8,37,24140,-0,2.6,214,"Mexico City"
"2023-09-27 13:00:00",12.4,84,0,0,0,2,786.7,54,24140,-0,3.1,201,"Mexico City"
"2023-09-27 14:00:00",12.1,84,0,0,0,2,786.6,58,24140,0.01,3.5,204,"Mexico City"
"2023-09-27 15:00:00",12,84,0,0,0,2,786.9,58,24140,0.01,3.3,193,"Mexico City"
"2023-09-27 16:00:00",13.8,75,0,0,0,2,788.9,67,24140,0.02,2.9,187,"Mexico City"
"2023-09-27 17:00:00",16,65,0,0,0,2,790.4,51,24140,0.07,2.3,342,"Mexico City"
"2023-09-27 18:00:00",17.9,58,0,0,0,1,791.1,33,24140,0.13,3.1,339,"Mexico City"
"2023-09-27 19:00:00",20.2,45,0,0,0,0,791.3,0,24140,0.19,4.7,351,"Mexico City"
"2023-09-27 20:00:00",22.3,37,0,0,0,0,791.1,0,24140,0.26,7,12,"Mexico City"
"2023-09-27 21:00:00",23.8,34,0,0,0,0,790.6,0,24140,0.29,9.1,18,"Mexico City"
"2023-09-27 22:00:00",24.9,32,0,0,0,1,789.9,34,24140,0.28,8.7,5,"Mexico City"
"2023-09-27 23:00:00",25.6,29,0,0,0,2,788.9,45,24140,0.24,9.1,9,"Mexico City"
"2023-09-27 00:00:00",30.5,49,0,0,0,2,924.5,55,24140,0.05,4.9,197,"São Paulo"
"2023-09-27 01:00:00",29,58,0,0,0,1,924.8,38,24140,0.03,3.1,159,"São Paulo"
"2023-09-27 02:00:00",28.1,65,0,0,0,1,925.1,16,24140,0.01,1.8,90,"São Paulo"
"2023-09-27 03:00:00",27.4,66,0,0,0,0,925.3,3,24140,0.01,3.1,21,"São Paulo"
"2023-09-27 04:00:00",26.1,69,0,0,0,1,924.9,41,24140,0.02,4.1,15,"São Paulo"
"2023-09-27 05:00:00",25.4,70,0,0,0,3,924.6,85,24140,0.02,3.2,360,"São Paulo"
"2023-09-27 06:00:00",25.2,69,0,0,0,2,923.8,65,24140,0.02,3.7,11,"São Paulo"
"2023-09-27 07:00:00",24.8,69,0,0,0,2,922.9,67,24140,0.02,3.6,354,"São Paulo"
"2023-09-27 08:00:00",24.7,68,0,0,0,2,922.6,78,24140,0.02,3.6,360,"São Paulo"
"2023-09-27 09:00:00",26.1,61,0.2,0,0,80,923.5,100,24140,0.03,6.6,311,"São Paulo"
"2023-09-27 10:00:00",25.9,63,0,0,0,2,924.1,58,24140,0.03,5,291,"São Paulo"
"2023-09-27 11:00:00",25.5,64,0,0,0,3,924.4,95,24140,0.03,6.4,333,"São Paulo"
"2023-09-27 12:00:00",26.4,60,0,0,0,3,924.9,97,24140,0.05,8.2,322,"São Paulo"
"2023-09-27 13:00:00",27.4,58,0.1,0,0,2,925.2,71,24140,0.1,12,339,"São Paulo"
"2023-09-27 14:00:00",28.2,57,0,0,0,2,925.2,67,24140,0.16,13.7,337,"São Paulo"
"2023-09-27 15:00:00",29.9,52,0,0,0,2,925.3,63,24140,0.21,18.6,328,"São Paulo"
"2023-09-27 16:00:00",32.1,46,0,0,0,2,925.5,46,24140,0.23,19.5,309,"São Paulo"
"2023-09-27 17:00:00",32.7,42,0.5,0,0,80,925.2,37,24140,0.31,21.3,296,"São Paulo"
"2023-09-27 18:00:00",32.5,44,0.3,0,0,80,925,86,24140,0.31,22,281,"São Paulo"
"2023-09-27 19:00:00",32.5,46,0.2,0,0,3,924,100,24140,0.28,18.6,292,"São Paulo"
"2023-09-27 20:00:00",28.3,65,1.9,0,0,80,923.9,100,24140,0.29,13.5,286,"São Paulo"
"2023-09-27 21:00:00",28.7,64,0.4,0,0,80,923.9,100,24140,0.18,7.9,273,"São Paulo"
"2023-09-27 22:00:00",23.8,84,9.2,0,0,96,925.3,100,24140,0.23,16,189,"São Paulo"
"2023-09-27 23:00:00",22.5,90,3.7,0,0,81,925.9,100,23080,0.13,10,159,"São Paulo"
"2023-09-27 00:00:00",13,79,0,0,0,3,1016.6,100,17720,0.04,7.1,165,"Buenos Aires"
